C:\ProgramData\Anaconda2\python.exe C:/Users/Administrator/mycode_git/smart_patent_mining/6_main-path/统计弱连通子图_拓扑权重_文本相似度权重的多主路径_文本权重非任意两节点相似度累加.py
S1 T0
1 1 1.0
2 2 1.0
3 3 1.0
3 4 0.75
3 5 0.6
3 6 0.5
3 7 0.428571428571
3 8 0.375
3 9 0.333333333333
3 10 0.3
3 11 0.272727272727
3 12 0.25
3 13 0.230769230769
3 14 0.214285714286
3 15 0.2
3 16 0.1875
3 17 0.176470588235
3 18 0.166666666667
3 19 0.157894736842
3 20 0.15
4 21 0.190476190476
4 22 0.181818181818
4 23 0.173913043478
4 24 0.166666666667
4 25 0.16
4 26 0.153846153846
4 27 0.148148148148
5 28 0.178571428571
5 29 0.172413793103
5 30 0.166666666667
5 31 0.161290322581
4 32 0.125
4 33 0.121212121212
4 34 0.117647058824
4 35 0.114285714286
4 36 0.111111111111
5 37 0.135135135135
5 38 0.131578947368
5 39 0.128205128205
5 40 0.125
5 41 0.121951219512
5 42 0.119047619048
5 43 0.116279069767
5 44 0.113636363636
5 45 0.111111111111
5 46 0.108695652174
5 47 0.106382978723
5 48 0.104166666667
5 49 0.102040816327
5 50 0.1
5 51 0.0980392156863
5 52 0.0961538461538
5 53 0.0943396226415
5 54 0.0925925925926
5 55 0.0909090909091
5 56 0.0892857142857
5 57 0.0877192982456
6 58 0.103448275862
6 59 0.101694915254
6 60 0.1
6 61 0.0983606557377
6 62 0.0967741935484
6 63 0.0952380952381
6 64 0.09375
6 65 0.0923076923077
6 66 0.0909090909091
7 67 0.10447761194
7 68 0.102941176471
8 69 0.115942028986
8 70 0.114285714286
8 71 0.112676056338
8 72 0.111111111111
8 73 0.109589041096
8 74 0.108108108108
8 75 0.106666666667
8 76 0.105263157895
8 77 0.103896103896
9 78 0.115384615385
9 79 0.113924050633
9 80 0.1125
9 81 0.111111111111
9 82 0.109756097561
10 83 0.120481927711
10 84 0.119047619048
11 85 0.129411764706
11 86 0.127906976744
11 87 0.126436781609
12 88 0.136363636364
12 89 0.134831460674
12 90 0.133333333333
13 91 0.142857142857
13 92 0.141304347826
13 93 0.139784946237
13 94 0.13829787234
14 95 0.147368421053
14 96 0.145833333333
15 97 0.154639175258
16 98 0.163265306122
16 99 0.161616161616
16 100 0.16
16 101 0.158415841584
16 102 0.156862745098
16 103 0.155339805825
16 104 0.153846153846
16 105 0.152380952381
16 106 0.150943396226
15 107 0.140186915888
15 108 0.138888888889
15 109 0.137614678899
16 110 0.145454545455
16 111 0.144144144144
16 112 0.142857142857
16 113 0.141592920354
16 114 0.140350877193
16 115 0.139130434783
17 116 0.146551724138
18 117 0.153846153846
18 118 0.152542372881
18 119 0.151260504202
18 120 0.15
19 121 0.157024793388
20 122 0.16393442623
20 123 0.162601626016
20 124 0.161290322581
20 125 0.16
20 126 0.15873015873
20 127 0.157480314961
20 128 0.15625
21 129 0.162790697674
21 130 0.161538461538
21 131 0.160305343511
21 132 0.159090909091
22 133 0.165413533835
22 134 0.164179104478
22 135 0.162962962963
22 136 0.161764705882
22 137 0.160583941606
22 138 0.159420289855
22 139 0.158273381295
22 140 0.157142857143
22 141 0.156028368794
22 142 0.154929577465
22 143 0.153846153846
22 144 0.152777777778
22 145 0.151724137931
22 146 0.150684931507
22 147 0.149659863946
22 148 0.148648648649
22 149 0.147651006711
23 150 0.153333333333
23 151 0.152317880795
24 152 0.157894736842
24 153 0.156862745098
24 154 0.155844155844
24 155 0.154838709677
24 156 0.153846153846
24 157 0.152866242038
24 158 0.151898734177
25 159 0.157232704403
25 160 0.15625
26 161 0.16149068323
26 162 0.16049382716
26 163 0.159509202454
27 164 0.164634146341
27 165 0.163636363636
27 166 0.16265060241
27 167 0.161676646707
27 168 0.160714285714
28 169 0.165680473373
28 170 0.164705882353
28 171 0.163742690058
28 172 0.162790697674
28 173 0.161849710983
28 174 0.16091954023
28 175 0.16
29 176 0.164772727273
29 177 0.16384180791
30 178 0.168539325843
30 179 0.167597765363
31 180 0.172222222222
31 181 0.171270718232
31 182 0.17032967033
31 183 0.169398907104
32 184 0.173913043478
33 185 0.178378378378
33 186 0.177419354839
33 187 0.176470588235
33 188 0.175531914894
33 189 0.174603174603
34 190 0.178947368421
34 191 0.178010471204
35 192 0.182291666667
35 193 0.181347150259
35 194 0.180412371134
35 195 0.179487179487
35 196 0.178571428571
35 197 0.177664974619
35 198 0.176767676768
36 199 0.180904522613

Process finished with exit code 0
